maintenance_id,repair_request_date,equipment_name,equipment_id,install_date,fault_type,fault_severity,fault_description,repair_status,repair_cost
M00001,2025-03-01,cisco_router,EQUIP54632,2024-12-10,software update,Средняя,Обнаружена software update после 25 дней эксплуатации,Отклонена,0
M00002,2025-03-01,cisco_switch,EQUIP99493,2024-12-30,dust cleaning,Высокая,Обнаружена dust cleaning после 4 дней эксплуатации,Отклонена,5000
M00003,2025-03-02,scaner,EQUIP41711,2024-12-18,port testing,Высокая,Обнаружена port testing после 28 дней эксплуатации,Отклонена,2000
M00004,2025-03-02,printer,EQUIP47008,2025-01-17,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 26 дней эксплуатации,Решена,1000
M00005,2025-03-04,scaner,EQUIP83474,2025-01-15,software update,Низкая,Обнаружена software update после 7 дней эксплуатации,Решена,0
M00006,2025-03-06,cisco_switch,EQUIP26003,2025-01-06,software update,Низкая,Обнаружена software update после 2 дней эксплуатации,Новая,2000
M00007,2025-03-07,nas,EQUIP22988,2024-12-23,port testing,Средняя,Обнаружена port testing после 21 дней эксплуатации,Новая,10000
M00008,2025-03-09,cisco_switch,EQUIP60795,2025-02-26,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 2 дней эксплуатации,Новая,2000
M00009,2025-03-10,printer,EQUIP88006,2025-01-02,dust cleaning,Низкая,Обнаружена dust cleaning после 11 дней эксплуатации,В обработке,0
M00010,2025-03-11,ip_phone,EQUIP44507,2025-02-02,software update,Низкая,Обнаружена software update после 4 дней эксплуатации,Отклонена,10000
M00011,2025-03-13,cisco_router,EQUIP45366,2025-02-18,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 26 дней эксплуатации,Решена,0
M00012,2025-03-14,printer,EQUIP17520,2025-02-14,port testing,Низкая,Обнаружена port testing после 29 дней эксплуатации,В обработке,1000
M00013,2025-03-14,pc,EQUIP91161,2024-12-14,error log analysis,Средняя,Обнаружена error log analysis после 15 дней эксплуатации,В обработке,1000
M00014,2025-03-15,printer,EQUIP79898,2025-01-04,dust cleaning,Средняя,Обнаружена dust cleaning после 23 дней эксплуатации,Решена,10000
M00015,2025-03-17,ip_phone,EQUIP63595,2025-01-10,software update,Средняя,Обнаружена software update после 2 дней эксплуатации,Решена,1000
M00016,2025-03-19,cisco_router,EQUIP91137,2025-01-21,software update,Высокая,Обнаружена software update после 27 дней эксплуатации,В обработке,2000
M00017,2025-03-20,ip_phone,EQUIP64820,2025-02-20,port testing,Низкая,Обнаружена port testing после 12 дней эксплуатации,В обработке,1000
M00018,2025-03-20,cisco_router,EQUIP73145,2024-12-28,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 10 дней эксплуатации,Решена,10000
M00019,2025-03-21,nas,EQUIP29951,2025-01-10,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 5 дней эксплуатации,Решена,10000
M00020,2025-03-22,nas,EQUIP64940,2025-03-17,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 19 дней эксплуатации,Новая,0
M00021,2025-03-23,pc,EQUIP36337,2025-03-10,dust cleaning,Низкая,Обнаружена dust cleaning после 6 дней эксплуатации,Новая,10000
